"id"	"gender"	"VR"	"HMD"	"AR"	"motion"	"game"	"computer"	"condition"	"fov"	"latency"	"ncorrect"	"nfalsepos"	"nfalseneg"	"recall"	"precision"
1	"F"	2	1	2	1	1	10	4	20	12	1	1	4	0.2	0.5
1	"F"	2	1	2	1	1	10	8	34	6	3	0	1	0.75	1
1	"F"	2	1	2	1	1	10	3	10	1	6	0	0	1	1
1	"F"	2	1	2	1	1	10	4	20	12	3	0	1	0.75	1
1	"F"	2	1	2	1	1	10	7	34	12	2	0	3	0.4	1
1	"F"	2	1	2	1	1	10	2	10	6	3	0	1	0.75	1
1	"F"	2	1	2	1	1	10	9	34	1	4	0	0	1	1
1	"F"	2	1	2	1	1	10	2	10	6	6	1	1	0.86	0.86
1	"F"	2	1	2	1	1	10	3	10	1	3	0	0	1	1
1	"F"	2	1	2	1	1	10	6	20	1	4	1	0	1	0.8
1	"F"	2	1	2	1	1	10	5	20	6	6	0	0	1	1
1	"F"	2	1	2	1	1	10	6	20	1	6	0	0	1	1
1	"F"	2	1	2	1	1	10	1	10	12	7	0	1	0.88	1
1	"F"	2	1	2	1	1	10	1	10	12	4	1	1	0.8	0.8
1	"F"	2	1	2	1	1	10	9	34	1	0	1	2	0	0
1	"F"	2	1	2	1	1	10	8	34	6	2	0	1	0.67	1
1	"F"	2	1	2	1	1	10	5	20	6	5	0	0	1	1
1	"F"	2	1	2	1	1	10	7	34	12	7	0	0	1	1
2	"F"	4	2	5	4	1	10	1	10	12	1	0	4	0.2	1
2	"F"	4	2	5	4	1	10	3	10	1	3	0	5	0.38	1
2	"F"	4	2	5	4	1	10	4	20	12	0	0	4	0	0
2	"F"	4	2	5	4	1	10	9	34	1	0	0	5	0	0
2	"F"	4	2	5	4	1	10	8	34	6	4	0	0	1	1
2	"F"	4	2	5	4	1	10	3	10	1	2	0	5	0.29	1
2	"F"	4	2	5	4	1	10	5	20	6	3	1	1	0.75	0.75
2	"F"	4	2	5	4	1	10	6	20	1	1	0	2	0.33	1
2	"F"	4	2	5	4	1	10	4	20	12	0	0	3	0	0
2	"F"	4	2	5	4	1	10	2	10	6	6	0	0	1	1
2	"F"	4	2	5	4	1	10	7	34	12	3	0	0	1	1
2	"F"	4	2	5	4	1	10	7	34	12	4	0	1	0.8	1
2	"F"	4	2	5	4	1	10	9	34	1	5	0	1	0.83	1
2	"F"	4	2	5	4	1	10	2	10	6	3	1	1	0.75	0.75
2	"F"	4	2	5	4	1	10	5	20	6	4	1	5	0.44	0.8
2	"F"	4	2	5	4	1	10	8	34	6	2	0	3	0.4	1
2	"F"	4	2	5	4	1	10	6	20	1	5	0	0	1	1
2	"F"	4	2	5	4	1	10	1	10	12	3	0	5	0.38	1
3	"M"	4	4	1	1	10	30	3	10	1	7	0	0	1	1
3	"M"	4	4	1	1	10	30	8	34	6	7	0	1	0.88	1
3	"M"	4	4	1	1	10	30	6	20	1	7	0	0	1	1
3	"M"	4	4	1	1	10	30	2	10	6	4	0	1	0.8	1
3	"M"	4	4	1	1	10	30	2	10	6	6	0	0	1	1
3	"M"	4	4	1	1	10	30	5	20	6	5	0	0	1	1
3	"M"	4	4	1	1	10	30	7	34	12	1	1	3	0.25	0.5
3	"M"	4	4	1	1	10	30	1	10	12	3	0	1	0.75	1
3	"M"	4	4	1	1	10	30	4	20	12	7	0	0	1	1
3	"M"	4	4	1	1	10	30	4	20	12	7	0	0	1	1
3	"M"	4	4	1	1	10	30	6	20	1	5	0	0	1	1
3	"M"	4	4	1	1	10	30	8	34	6	6	0	0	1	1
3	"M"	4	4	1	1	10	30	5	20	6	7	1	1	0.88	0.88
3	"M"	4	4	1	1	10	30	9	34	1	1	0	6	0.14	1
3	"M"	4	4	1	1	10	30	7	34	12	4	0	0	1	1
3	"M"	4	4	1	1	10	30	9	34	1	3	1	1	0.75	0.75
3	"M"	4	4	1	1	10	30	3	10	1	4	0	0	1	1
3	"M"	4	4	1	1	10	30	1	10	12	5	1	3	0.63	0.83
4	"M"	4	2	2	2	10	10	4	20	12	4	0	0	1	1
4	"M"	4	2	2	2	10	10	6	20	1	5	1	1	0.83	0.83
4	"M"	4	2	2	2	10	10	2	10	6	3	0	0	1	1
4	"M"	4	2	2	2	10	10	8	34	6	3	0	0	1	1
4	"M"	4	2	2	2	10	10	9	34	1	5	0	0	1	1
4	"M"	4	2	2	2	10	10	5	20	6	5	0	0	1	1
4	"M"	4	2	2	2	10	10	7	34	12	4	0	0	1	1
4	"M"	4	2	2	2	10	10	1	10	12	2	1	4	0.33	0.67
4	"M"	4	2	2	2	10	10	4	20	12	4	0	0	1	1
4	"M"	4	2	2	2	10	10	6	20	1	4	0	0	1	1
4	"M"	4	2	2	2	10	10	8	34	6	3	0	0	1	1
4	"M"	4	2	2	2	10	10	7	34	12	5	0	2	0.71	1
4	"M"	4	2	2	2	10	10	2	10	6	2	0	1	0.67	1
4	"M"	4	2	2	2	10	10	3	10	1	4	0	1	0.8	1
4	"M"	4	2	2	2	10	10	3	10	1	5	0	0	1	1
4	"M"	4	2	2	2	10	10	9	34	1	3	1	1	0.75	0.75
4	"M"	4	2	2	2	10	10	1	10	12	6	0	4	0.6	1
4	"M"	4	2	2	2	10	10	5	20	6	6	0	0	1	1
5	"F"	1	1	1	5	1	20	3	10	1	4	0	0	1	1
5	"F"	1	1	1	5	1	20	7	34	12	4	1	1	0.8	0.8
5	"F"	1	1	1	5	1	20	2	10	6	4	1	2	0.67	0.8
5	"F"	1	1	1	5	1	20	5	20	6	6	0	0	1	1
5	"F"	1	1	1	5	1	20	9	34	1	7	0	0	1	1
5	"F"	1	1	1	5	1	20	8	34	6	3	0	3	0.5	1
5	"F"	1	1	1	5	1	20	5	20	6	4	0	0	1	1
5	"F"	1	1	1	5	1	20	3	10	1	4	0	0	1	1
5	"F"	1	1	1	5	1	20	2	10	6	4	2	2	0.67	0.67
5	"F"	1	1	1	5	1	20	1	10	12	2	0	3	0.4	1
5	"F"	1	1	1	5	1	20	6	20	1	0	0	5	0	0
5	"F"	1	1	1	5	1	20	8	34	6	5	0	0	1	1
5	"F"	1	1	1	5	1	20	1	10	12	4	1	2	0.67	0.8
5	"F"	1	1	1	5	1	20	4	20	12	2	2	2	0.5	0.5
5	"F"	1	1	1	5	1	20	7	34	12	6	1	1	0.86	0.86
5	"F"	1	1	1	5	1	20	4	20	12	1	0	2	0.33	1
5	"F"	1	1	1	5	1	20	6	20	1	2	1	4	0.33	0.67
5	"F"	1	1	1	5	1	20	9	34	1	4	0	0	1	1
6	"M"	2	1	2	1	3	30	8	34	6	7	0	0	1	1
6	"M"	2	1	2	1	3	30	4	20	12	5	1	1	0.83	0.83
6	"M"	2	1	2	1	3	30	6	20	1	3	1	1	0.75	0.75
6	"M"	2	1	2	1	3	30	7	34	12	2	1	5	0.29	0.67
6	"M"	2	1	2	1	3	30	5	20	6	5	0	0	1	1
6	"M"	2	1	2	1	3	30	7	34	12	5	1	1	0.83	0.83
6	"M"	2	1	2	1	3	30	2	10	6	6	1	2	0.75	0.86
6	"M"	2	1	2	1	3	30	1	10	12	3	0	0	1	1
6	"M"	2	1	2	1	3	30	6	20	1	4	1	1	0.8	0.8
6	"M"	2	1	2	1	3	30	4	20	12	7	0	0	1	1
6	"M"	2	1	2	1	3	30	1	10	12	4	0	4	0.5	1
6	"M"	2	1	2	1	3	30	9	34	1	6	1	1	0.86	0.86
6	"M"	2	1	2	1	3	30	3	10	1	0	0	4	0	0
6	"M"	2	1	2	1	3	30	3	10	1	4	0	0	1	1
6	"M"	2	1	2	1	3	30	8	34	6	4	1	1	0.8	0.8
6	"M"	2	1	2	1	3	30	9	34	1	8	0	0	1	1
6	"M"	2	1	2	1	3	30	2	10	6	6	1	1	0.86	0.86
6	"M"	2	1	2	1	3	30	5	20	6	3	0	2	0.6	1
