Number,Age,Sex,Major,Year in College,VR Familiar,HMD Familiar,AR Familiar,Mostion Sick,3d Games,Computer Use,Colorbling,Bad Colors
18,24,M,NA,NA,1,1,1,1,1,5,No,NA
17,58,F,NA,NA,4,2,4,3,1,4,No,NA
16,51,F,NA,NA,3,4,3,3,1,3,No,NA
15,59,M,Psych,NA,3,2,1,1,1,5,No,NA
13,25,F,NA,NA,2,2,2,2,1,3,No,NA
12,23,F,NA,NA,4,4,4,2,1,5,No,NA
14,51,M,NA,NA,3,3,1,3,1,3,No,NA
11,23,M,Mech Eng,NA,4,3,2,1,1,5,No,NA
10,23,M,Elec Eng,NA,2,4,1,1,2,5,No,NA
9,26,F,Psych,4,1,1,1,4,1,5,No,NA
8,27,M,Comp Sci,7,4,4,4,2,1,5,No,NA
7,24,M,Mech Eng,Grad,2,2,2,2,1,5,No,NA
6,30,M,Comp Sci,11,4,4,4,3,1,5,No,NA
5,27,M,Comp Sci,5,5,5,5,2,2,5,No,NA
4,30,M,Comp Sci,NA,5,5,5,1,1,5,No,NA
3,27,F,Comp Sci,"Grad, 3rd",5,4,4,2,1,5,No,NA
0,30,M,NA,NA,2,2,2,4,1,5,No,NA
2,26,F,Psych,"Grad, 3rd",4,1,1,1,1,3,No,NA
1,26,F,Psych,"Grad, 3rd",1,1,1,3,3,5,No,NA
