trial,fov,latency,ncorrect,nfalsepos,nfalseneg,percent_correct
3,10,1,6,0,0,1
9,10,1,3,0,0,1
2,10,1,3,0,5,0.375
6,10,1,2,0,5,0.285714286
1,10,1,7,0,0,1
17,10,1,4,0,0,1
14,10,1,4,0,1,0.8
15,10,1,5,0,0,1
1,10,1,4,0,0,1
8,10,1,4,0,0,1
13,10,1,0,0,4,0
14,10,1,4,0,0,1
6,10,6,3,0,1,0.75
8,10,6,6,1,1,0.857142857
10,10,6,6,0,0,1
14,10,6,3,1,1,0.75
4,10,6,4,0,1,0.8
5,10,6,6,0,0,1
3,10,6,3,0,0,1
13,10,6,2,0,1,0.666666667
3,10,6,4,1,2,0.666666667
9,10,6,4,2,2,0.666666667
7,10,6,6,1,2,0.75
17,10,6,6,1,1,0.857142857
13,10,12,7,0,1,0.875
14,10,12,4,1,1,0.8
1,10,12,1,0,4,0.2
18,10,12,3,0,5,0.375
8,10,12,3,0,1,0.75
18,10,12,5,1,3,0.625
8,10,12,2,1,4,0.333333333
17,10,12,6,0,4,0.6
10,10,12,2,0,3,0.4
13,10,12,4,1,2,0.666666667
8,10,12,3,0,0,1
11,10,12,4,0,4,0.5
10,20,1,4,1,0,1
12,20,1,6,0,0,1
8,20,1,1,0,2,0.333333333
17,20,1,5,0,0,1
3,20,1,7,0,0,1
11,20,1,5,0,0,1
2,20,1,5,1,1,0.833333333
10,20,1,4,0,0,1
11,20,1,0,0,5,0
17,20,1,2,1,4,0.333333333
3,20,1,3,1,1,0.75
9,20,1,4,1,1,0.8
11,20,6,6,0,0,1
17,20,6,5,0,0,1
7,20,6,3,1,1,0.75
15,20,6,4,1,5,0.444444444
6,20,6,5,0,0,1
13,20,6,7,1,1,0.875
6,20,6,5,0,0,1
18,20,6,6,0,0,1
4,20,6,6,0,0,1
7,20,6,4,0,0,1
5,20,6,5,0,0,1
18,20,6,3,0,2,0.6
1,20,12,1,1,4,0.2
4,20,12,3,0,1,0.75
3,20,12,0,0,4,0
9,20,12,0,0,3,0
9,20,12,7,0,0,1
10,20,12,7,0,0,1
1,20,12,4,0,0,1
9,20,12,4,0,0,1
14,20,12,2,2,2,0.5
16,20,12,1,0,2,0.333333333
2,20,12,5,1,1,0.833333333
10,20,12,7,0,0,1
7,34,1,4,0,0,1
15,34,1,0,1,2,0
4,34,1,0,0,5,0
13,34,1,5,0,1,0.833333333
14,34,1,1,0,6,0.142857143
16,34,1,3,1,1,0.75
5,34,1,5,0,0,1
16,34,1,3,1,1,0.75
5,34,1,7,0,0,1
18,34,1,4,0,0,1
12,34,1,6,1,1,0.857142857
16,34,1,8,0,0,1
2,34,6,3,0,1,0.75
16,34,6,2,0,1,0.666666667
5,34,6,4,0,0,1
16,34,6,2,0,3,0.4
2,34,6,7,0,1,0.875
12,34,6,6,0,0,1
4,34,6,3,0,0,1
11,34,6,3,0,0,1
6,34,6,3,0,3,0.5
12,34,6,5,0,0,1
1,34,6,7,0,0,1
15,34,6,4,1,1,0.8
5,34,12,2,0,3,0.4
18,34,12,7,0,0,1
11,34,12,3,0,0,1
12,34,12,4,0,1,0.8
7,34,12,1,1,3,0.25
15,34,12,4,0,0,1
7,34,12,4,0,0,1
12,34,12,5,0,2,0.714285714
2,34,12,4,1,1,0.8
15,34,12,6,1,1,0.857142857
4,34,12,2,1,5,0.285714286
6,34,12,5,1,1,0.833333333
